" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","192.9 (3 min 12 sec)","199.5","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","166.5 (2 min 46 sec)","231.1","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","158.7 (2 min 38 sec)","242.5","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","159.6 (2 min 39 sec)","241.2","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","158.5 (2 min 38 sec)","242.8","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","157.1 (2 min 37 sec)","245","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","159 (2 min 38 sec)","242.1","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","157.1 (2 min 37 sec)","245","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","158.3 (2 min 38 sec)","243.1","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","641,411,602","162.3 (2 min 42 sec)","237.2","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log","0 (No error, Successful operation)"
