" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files examined"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","225 (3 min 44 sec)","55.67","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","222.3 (3 min 42 sec)","56.35","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","223.5 (3 min 43 sec)","56.03","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","223.7 (3 min 43 sec)","55.99","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","221.4 (3 min 41 sec)","56.57","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","876","163,731,914","320.5 (5 min 20 sec)","30.65","14,142","386","53","8","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","44 (Disk Full)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","236.3 (3 min 56 sec)","52.99","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","223.2 (3 min 43 sec)","56.11","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","225.9 (3 min 45 sec)","55.44","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","221.1 (3 min 41 sec)","56.65","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log","0 (No error, Successful operation)"
