" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files examined"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","228.6 (3 min 48 sec)","54.8","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","229.9 (3 min 49 sec)","54.48","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","230.4 (3 min 50 sec)","54.36","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","232.7 (3 min 52 sec)","53.83","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","236.6 (3 min 56 sec)","52.92","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","225.3 (3 min 45 sec)","55.58","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","227.1 (3 min 47 sec)","55.14","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","229.1 (3 min 49 sec)","54.67","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","231 (3 min 50 sec)","54.22","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","208,731,021","228.1 (3 min 48 sec)","54.92","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log","0 (No error, Successful operation)"
