" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109.2 (1 min 49 sec)","289.7","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","124.6 (2 min 4 sec)","253.9","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","110 (1 min 49 sec)","287.8","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109 (1 min 49 sec)","290.2","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","111.6 (1 min 51 sec)","283.4","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109.2 (1 min 49 sec)","289.7","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109.8 (1 min 49 sec)","288.3","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","110.6 (1 min 50 sec)","286.1","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109.8 (1 min 49 sec)","288.2","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109.7 (1 min 49 sec)","288.5","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","109 (1 min 48 sec)","290.4","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files \\droboshare\drobo\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""\\droboshare\drobo\speed-test\big_files\"",""*"","1","527,331,269","108.9 (1 min 48 sec)","290.7","1","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-big_files.log","0 (No error, Successful operation)"
