" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,271","307,290,194","1,471 (24 min 31 sec)","12.53","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,271","307,287,586","1,698 (28 min 18 sec)","10.86","22,274","22,270","1,265","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,897 (31 min 37 sec)","20.28","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,880 (31 min 20 sec)","20.46","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,880 (31 min 20 sec)","20.47","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,877 (31 min 17 sec)","20.49","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,751 (29 min 11 sec)","21.98","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,693 (28 min 13 sec)","22.73","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,670 (27 min 50 sec)","23.04","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,655 (27 min 35 sec)","23.25","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,703 (28 min 23 sec)","22.6","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","641,406,690","1,580 (26 min 20 sec)","24.34","24,344","24,339","1,485","K:\Software\Speed-test\stats\GEOMATT\server2dshare_straight-little_files.log","0 (No error, Successful operation)"
