" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files examined"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","46.17","271.2","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.05","266.2","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","46.82","267.5","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.16","265.6","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.31","264.7","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.03","266.3","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.39","264.3","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","50.14","249.8","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","208,731,021","47.25","265.1","24,344","532","76","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log",""K:\Software\Speed-test\source\little_files\"",""\\droboshare\drobo\speed-test\little_files\"",""*"","1,491","523,373,707","1,113 (18 min 33 sec)","28.2","24,344","13,085","745","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_diff-little_files.log","0 (No error, Successful operation)"
