" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","55.78","567.2","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","51.64","612.7","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","56.78","557.2","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","52.55","602.1","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","53.86","587.5","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","51.74","611.6","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","51.64","612.7","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","51.75","611.4","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","55.45","570.6","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","53.28","593.9","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\big_files f:\speed-test\big_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log",""K:\Software\Speed-test\source\big_files\"",""F:\speed-test\big_files\"",""*"","1","527,331,269","54.8","577.4","1","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-big_files.log","0 (No error, Successful operation)"
