" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","118.6 (1 min 58 sec)","155.5","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","119.1 (1 min 59 sec)","154.9","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","122.3 (2 min 2 sec)","150.7","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","120.5 (2 min 0 sec)","153","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","121.9 (2 min 1 sec)","151.3","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","123.9 (2 min 3 sec)","148.8","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","117.8 (1 min 57 sec)","156.6","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","119.2 (1 min 59 sec)","154.6","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","126.3 (2 min 6 sec)","145.9","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,271","307,290,194","120.8 (2 min 0 sec)","152.7","22,274","1,270","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files f:\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log",""K:\Software\Speed-test\source\little_files\"",""F:\speed-test\little_files\"",""*"","1,491","641,411,602","163.6 (2 min 43 sec)","235.2","24,344","1,490","K:\Software\Speed-test\stats\GEOMATT\server2loc-usb_straight-little_files.log","0 (No error, Successful operation)"
