" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files examined"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.38","264.3","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.7","262.6","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.44","264","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.91","261.4","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.61","263","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.95","261.2","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.92","261.3","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.49","263.7","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.59","263.2","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","208,731,021","47.45","263.9","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2local_diff-little_files.log","0 (No error, Successful operation)"
