" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","52.81","599.1","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","61.39 (1 min 1 sec)","515.4","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","52.95","597.5","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","57.97","545.8","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","52.22","605.9","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","56.28","562.2","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","52.22","605.9","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","54.02","585.7","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","54","585.9","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files d:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""D:\speed-test\big_files\"",""*"","1","527,331,269","54.81","577.2","1","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-big_files.log","0 (No error, Successful operation)"
