" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","188.9 (3 min 8 sec)","203.7","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","160.3 (2 min 40 sec)","240.1","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","157.9 (2 min 37 sec)","243.7","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","162.2 (2 min 42 sec)","237.3","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","159.2 (2 min 39 sec)","241.8","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","159.5 (2 min 39 sec)","241.3","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","158.7 (2 min 38 sec)","242.5","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","161.6 (2 min 41 sec)","238.2","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","168.6 (2 min 48 sec)","228.2","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log",""X:\Software\Speed-test\source\little_files\"",""D:\speed-test\little_files\"",""*"","1,491","641,411,602","161.2 (2 min 41 sec)","238.8","24,344","1,490","X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log","0 (No error, Successful operation)"
