Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
137,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",91.4 (1 min 31 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,12:37:45, 6.1.7601 service pack 1,3.11.7
Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
83.85,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",149.4 (2 min 29 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,13:26:40, 6.1.7601 service pack 1,3.11.7
Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
114.6,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",109.3 (1 min 49 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,13:53:58, 6.1.7601 service pack 1,3.11.7
Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
137,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",91.4 (1 min 31 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,12:37:45, 6.1.7601 service pack 1,3.11.7
Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
83.85,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",149.4 (2 min 29 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,13:26:40, 6.1.7601 service pack 1,3.11.7
Action speed (MB/min),Bytes Zapped (by /Z),Command Line,Destination directory,Directories Processed,Elapsed time in sec.,Exit code,File name template,Files Copied,Files Examined,Files Zapped (by /Z),Log File Appended,Source base directory,Total Data in Bytes,date,time,windows version,xxcopy version
114.6,0,xxcopy  /yy /of0 /clone /ff /pb d:\speed-test\source\little_files \\envgeonas\speed-test\speed-test-scratch\little_files /oad:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""\\envgeonas\speed-test\speed-test-scratch\little_files\""","1,491",109.3 (1 min 49 sec),"0 (No error, Successful operation)","""*""",532,"24,344",0,d:\speed-test\stats\ENV-Y209103\local2NAS-local-user-raid10_diff-little_files.log,"""D:\speed-test\source\little_files\""","208,731,021",2014-09-02,13:53:58, 6.1.7601 service pack 1,3.11.7
