Action speed (MB/min),Command Line,Destination directory,Directories created,Directories processed,Elapsed time in sec.,Exit code,File name template,Files copied,Log File Appended,Source base directory,Total data in bytes,date,time,windows version,xxcopy version
203.7,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",188.9 (3 min 8 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,10:34:54, 5.2.3790 service pack 2,2.97.5
240.1,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",160.3 (2 min 40 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,10:40:34, 5.2.3790 service pack 2,2.97.5
243.7,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",157.9 (2 min 37 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,10:45:49, 5.2.3790 service pack 2,2.97.5
237.3,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",162.2 (2 min 42 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,10:51:00, 5.2.3790 service pack 2,2.97.5
241.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",159.2 (2 min 39 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,10:56:14, 5.2.3790 service pack 2,2.97.5
241.3,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",159.5 (2 min 39 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,11:01:26, 5.2.3790 service pack 2,2.97.5
242.5,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",158.7 (2 min 38 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,11:06:42, 5.2.3790 service pack 2,2.97.5
238.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",161.6 (2 min 41 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,11:11:55, 5.2.3790 service pack 2,2.97.5
228.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",168.6 (2 min 48 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,11:17:04, 5.2.3790 service pack 2,2.97.5
238.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files d:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""D:\speed-test\little_files\""","1,490","1,491",161.2 (2 min 41 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2local_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,11:22:31, 5.2.3790 service pack 2,2.97.5
